Data File,Sample Notes,RT (min),Peak Name,Result Type,Area,Amt,Calib Amt,Dev%-Amt,Sample Type,plate
201026_MIA_029.xms,ISY_CYC_P1_B1,2.493,Caffeine,Failed,5.24E+06,25,---,---,Analysis,P1
201026_MIA_030.xms,ISY_CYC_P1_B2,2.511,Caffeine,Failed,4.97E+06,25,---,---,Analysis,P1
201026_MIA_031.xms,ISY_CYC_P1_B3,2.517,Caffeine,Failed,5.28E+06,25,---,---,Analysis,P1
201026_MIA_032.xms,ISY_CYC_P1_B4,2.505,Caffeine,Failed,5.07E+06,25,---,---,Analysis,P1
201026_MIA_033.xms,ISY_CYC_P1_B5,2.509,Caffeine,Failed,5.65E+06,25,---,---,Analysis,P1
201026_MIA_034.xms,ISY_CYC_P1_B6,2.501,Caffeine,Failed,5.57E+06,25,---,---,Analysis,P1
201026_MIA_035.xms,ISY_CYC_P1_B7,2.5,Caffeine,Failed,5.44E+06,25,---,---,Analysis,P1
201026_MIA_036.xms,ISY_CYC_P1_B8,2.496,Caffeine,Failed,4.71E+06,25,---,---,Analysis,P1
201026_MIA_037.xms,ISY_CYC_P1_B9,2.498,Caffeine,Failed,5.69E+06,25,---,---,Analysis,P1
201026_MIA_038.xms,ISY_CYC_P1_B10,2.502,Caffeine,Failed,5.63E+06,25,---,---,Analysis,P1
201026_MIA_039.xms,ISY_CYC_P1_B11,2.504,Caffeine,Failed,5.24E+06,25,---,---,Analysis,P1
201026_MIA_040.xms,ISY_CYC_P1_B12,2.493,Caffeine,Failed,5.41E+06,25,---,---,Analysis,P1
201026_MIA_041.xms,QC_mix_02,2.491,Caffeine,Failed,359968,1,1,---,Verification,P1
201026_MIA_042.xms,ISY_CYC_P1_C1,2.488,Caffeine,Failed,4.94E+06,25,---,---,Analysis,P1
201026_MIA_043.xms,ISY_CYC_P1_C2,2.475,Caffeine,Failed,5.04E+06,25,---,---,Analysis,P1
201026_MIA_044.xms,ISY_CYC_P1_C3,2.48,Caffeine,Failed,5.58E+06,25,---,---,Analysis,P1
201026_MIA_045.xms,ISY_CYC_P1_C4,2.477,Caffeine,Failed,5.52E+06,25,---,---,Analysis,P1
201026_MIA_046.xms,ISY_CYC_P1_C5,2.482,Caffeine,Failed,5.96E+06,25,---,---,Analysis,P1
201026_MIA_047.xms,ISY_CYC_P1_C6,2.475,Caffeine,Failed,5.23E+06,25,---,---,Analysis,P1
201026_MIA_048.xms,ISY_CYC_P1_C7,2.478,Caffeine,Failed,5.47E+06,25,---,---,Analysis,P1
201026_MIA_049.xms,ISY_CYC_P1_C8,2.474,Caffeine,Failed,5.68E+06,25,---,---,Analysis,P1
201026_MIA_050.xms,ISY_CYC_P1_C9,2.483,Caffeine,Failed,4.01E+06,25,---,---,Analysis,P1
201026_MIA_051.xms,ISY_CYC_P1_C10,2.484,Caffeine,Failed,4.39E+06,25,---,---,Analysis,P1
201026_MIA_052.xms,ISY_CYC_P1_C11,2.496,Caffeine,Failed,4.14E+06,25,---,---,Analysis,P1
201026_MIA_053.xms,ISY_CYC_P1_C12,2.495,Caffeine,Failed,4.17E+06,25,---,---,Analysis,P1
201026_MIA_054.xms,QC_mix_03,2.495,Caffeine,Failed,382369,1,1,---,Verification,P1
201026_MIA_055.xms,ISY_CYC_P1_D1,2.507,Caffeine,Failed,4.33E+06,25,---,---,Analysis,P1
201026_MIA_056.xms,ISY_CYC_P1_D2,2.512,Caffeine,Failed,5.15E+06,25,---,---,Analysis,P1
201026_MIA_057.xms,ISY_CYC_P1_D3,2.508,Caffeine,Failed,5.39E+06,25,---,---,Analysis,P1
201026_MIA_058.xms,ISY_CYC_P1_D4,2.5,Caffeine,Failed,6.85E+06,25,---,---,Analysis,P1
201026_MIA_059.xms,ISY_CYC_P1_D5,2.497,Caffeine,Failed,5.60E+06,25,---,---,Analysis,P1
201026_MIA_060.xms,ISY_CYC_P1_D6,2.504,Caffeine,Failed,6.46E+06,25,---,---,Analysis,P1
201026_MIA_061.xms,ISY_CYC_P1_D7,2.493,Caffeine,Failed,6.05E+06,25,---,---,Analysis,P1
201026_MIA_062.xms,ISY_CYC_P1_D8,2.503,Caffeine,Failed,5.90E+06,25,---,---,Analysis,P1
201026_MIA_063.xms,ISY_CYC_P1_D9,2.505,Caffeine,Failed,5.05E+06,25,---,---,Analysis,P1
201026_MIA_064.xms,ISY_CYC_P1_D10,2.507,Caffeine,Failed,5.43E+06,25,---,---,Analysis,P1
201026_MIA_065.xms,ISY_CYC_P1_D11,2.501,Caffeine,Failed,5.52E+06,25,---,---,Analysis,P1
201026_MIA_066.xms,ISY_CYC_P1_D12,2.503,Caffeine,Failed,5.54E+06,25,---,---,Analysis,P1
201026_MIA_067.xms,Solvent Blank,2.501,Caffeine,Failed,26411,1,---,---,Blank,P1
201026_MIA_067001.xms,Solvent Blank,2.496,Caffeine,Failed,23027,1,---,---,Blank,P1
201026_MIA_068.xms,Blank,2.501,Caffeine,Failed,9875,1,---,---,Blank,P1
201026_MIA_069.xms,0.05 mg/L stric_v13#1,2.493,Caffeine,Failed,286612,1,1,---,Calibration,P1
201026_MIA_070.xms,0.1 mg/L stric_v13#2,2.492,Caffeine,Failed,337212,1,1,---,Calibration,P1
201026_MIA_071.xms,0.25 mg/L stric_v13#3,2.491,Caffeine,Failed,304009,1,1,---,Calibration,P1
201026_MIA_072.xms,0.5 mg/L stric_v13#4,2.496,Caffeine,Failed,297723,1,1,---,Calibration,P1
201026_MIA_073.xms,1 mg/L stric_v13#5,2.499,Caffeine,Failed,277807,1,1,---,Calibration,P1
201026_MIA_074.xms,2.5 mg/L stric_v13#6,2.509,Caffeine,Failed,268905,1,1,---,Calibration,P1
201026_MIA_075.xms,5 mg/L stric_v13#7,2.499,Caffeine,Failed,279145,1,1,---,Calibration,P1
201026_MIA_076.xms,10 mg/L stric_v13#8,2.507,Caffeine,Failed,373324,1,1,---,Calibration,P1
201026_MIA_077.xms,25 mg/L stric_v13#9,2.481,Caffeine,Failed,276823,1,1,---,Calibration,P1
201026_MIA_078.xms,50 mg/L stric_v13#10,2.491,Caffeine,Failed,552840,1,1,---,Calibration,P1
201026_MIA_079.xms,Solvent Blank,2.492,Caffeine,Failed,2271,1,---,---,Blank,P1
201026_MIA_079001.xms,Solvent Blank,2.487,Caffeine,Identified,2179,1,---,---,Blank,P1
201026_MIA_079002.xms,Solvent Blank,2.495,Caffeine,Failed,1167,1,---,---,Blank,P1
201026_MIA_080.xms,ISY_CYC_P1_E1,2.5,Caffeine,Failed,6.05E+06,25,---,---,Analysis,P1
201026_MIA_081.xms,ISY_CYC_P1_E2,2.493,Caffeine,Failed,5.87E+06,25,---,---,Analysis,P1
201026_MIA_082.xms,ISY_CYC_P1_E3,2.49,Caffeine,Failed,5.42E+06,25,---,---,Analysis,P1
201026_MIA_083.xms,ISY_CYC_P1_E4,2.507,Caffeine,Failed,5.09E+06,25,---,---,Analysis,P1
201026_MIA_084.xms,ISY_CYC_P1_E5,2.491,Caffeine,Failed,5.27E+06,25,---,---,Analysis,P1
201026_MIA_085.xms,ISY_CYC_P1_E6,2.507,Caffeine,Failed,4.81E+06,25,---,---,Analysis,P1
201026_MIA_086.xms,ISY_CYC_P1_E7,2.507,Caffeine,Failed,4.65E+06,25,---,---,Analysis,P1
201026_MIA_087.xms,ISY_CYC_P1_E8,2.502,Caffeine,Failed,4.45E+06,25,---,---,Analysis,P1
201026_MIA_088.xms,ISY_CYC_P1_E9,2.504,Caffeine,Failed,5.00E+06,25,---,---,Analysis,P1
201026_MIA_089.xms,ISY_CYC_P1_E10,2.503,Caffeine,Failed,5.47E+06,25,---,---,Analysis,P1
201026_MIA_090.xms,ISY_CYC_P1_E11,2.492,Caffeine,Failed,4.93E+06,25,---,---,Analysis,P1
201026_MIA_091.xms,ISY_CYC_P1_E12,2.505,Caffeine,Failed,5.67E+06,25,---,---,Analysis,P1
201026_MIA_092.xms,QC_mix_04,2.505,Caffeine,Failed,424462,1,1,---,Verification,P1
201026_MIA_093.xms,ISY_CYC_P1_F1,2.511,Caffeine,Failed,6.05E+06,25,---,---,Analysis,P1
201026_MIA_094.xms,ISY_CYC_P1_F2,2.516,Caffeine,Failed,5.61E+06,25,---,---,Analysis,P1
201026_MIA_095.xms,ISY_CYC_P1_F3,2.505,Caffeine,Failed,5.43E+06,25,---,---,Analysis,P1
201026_MIA_096.xms,ISY_CYC_P1_F4,2.507,Caffeine,Failed,5.74E+06,25,---,---,Analysis,P1
201026_MIA_097.xms,ISY_CYC_P1_F5,2.513,Caffeine,Failed,6.15E+06,25,---,---,Analysis,P1
201026_MIA_098.xms,ISY_CYC_P1_F6,2.519,Caffeine,Failed,6.02E+06,25,---,---,Analysis,P1
201026_MIA_099.xms,ISY_CYC_P1_F7,2.512,Caffeine,Failed,6.07E+06,25,---,---,Analysis,P1
201026_MIA_100.xms,ISY_CYC_P1_F8,2.52,Caffeine,Failed,5.77E+06,25,---,---,Analysis,P1
201026_MIA_101.xms,ISY_CYC_P1_F9,2.513,Caffeine,Failed,5.81E+06,25,---,---,Analysis,P1
201026_MIA_102.xms,ISY_CYC_P1_F10,2.501,Caffeine,Failed,5.53E+06,25,---,---,Analysis,P1
201026_MIA_103.xms,ISY_CYC_P1_F11,2.513,Caffeine,Failed,6.05E+06,25,---,---,Analysis,P1
201026_MIA_104.xms,ISY_CYC_P1_F12,2.512,Caffeine,Failed,5.97E+06,25,---,---,Analysis,P1
201026_MIA_105.xms,QC_mix_05,2.521,Caffeine,Failed,423646,1,1,---,Verification,P1
201026_MIA_106.xms,ISY_CYC_P1_G1,2.516,Caffeine,Failed,6.84E+06,25,---,---,Analysis,P1
201026_MIA_107.xms,ISY_CYC_P1_G2,2.51,Caffeine,Failed,6.24E+06,25,---,---,Analysis,P1
201026_MIA_108.xms,ISY_CYC_P1_G3,2.519,Caffeine,Failed,5.70E+06,25,---,---,Analysis,P1
201026_MIA_109.xms,ISY_CYC_P1_G4,2.525,Caffeine,Failed,7.00E+06,25,---,---,Analysis,P1
201026_MIA_110.xms,ISY_CYC_P1_G5,2.498,Caffeine,Failed,6.55E+06,25,---,---,Analysis,P1
201026_MIA_111.xms,ISY_CYC_P1_G6,2.499,Caffeine,Failed,6.42E+06,25,---,---,Analysis,P1
201026_MIA_112.xms,ISY_CYC_P1_G7,2.503,Caffeine,Failed,6.69E+06,25,---,---,Analysis,P1
201026_MIA_113.xms,ISY_CYC_P1_G8,2.5,Caffeine,Failed,5.49E+06,25,---,---,Analysis,P1
201026_MIA_114.xms,ISY_CYC_P1_G9,2.507,Caffeine,Failed,5.61E+06,25,---,---,Analysis,P1
201026_MIA_115.xms,ISY_CYC_P1_G10,2.504,Caffeine,Failed,6.31E+06,25,---,---,Analysis,P1
201026_MIA_116.xms,ISY_CYC_P1_G11,2.499,Caffeine,Failed,6.60E+06,25,---,---,Analysis,P1
201026_MIA_117.xms,ISY_CYC_P1_G12,2.502,Caffeine,Failed,5.12E+06,25,---,---,Analysis,P1
201026_MIA_118.xms,QC_mix_06,2.527,Caffeine,Failed,441570,1,1,---,Verification,P1
201026_MIA_119.xms,ISY_CYC_P1_H1,2.517,Caffeine,Failed,6.57E+06,25,---,---,Analysis,P1
201026_MIA_120.xms,ISY_CYC_P1_H2,2.529,Caffeine,Failed,5.56E+06,25,---,---,Analysis,P1
201026_MIA_121.xms,ISY_CYC_P1_H3,2.532,Caffeine,Failed,5.72E+06,25,---,---,Analysis,P1
201026_MIA_122.xms,ISY_CYC_P1_H4,2.527,Caffeine,Failed,5.55E+06,25,---,---,Analysis,P1
201026_MIA_123.xms,ISY_CYC_P1_H5,2.532,Caffeine,Failed,5.51E+06,25,---,---,Analysis,P1
201026_MIA_124.xms,ISY_CYC_P1_H6,2.519,Caffeine,Failed,8.12E+06,25,---,---,Analysis,P1
201026_MIA_125.xms,ISY_CYC_P1_H7,2.527,Caffeine,Failed,6.86E+06,25,---,---,Analysis,P1
201026_MIA_126.xms,ISY_CYC_P1_H8,2.523,Caffeine,Failed,7.39E+06,25,---,---,Analysis,P1
201026_MIA_127.xms,ISY_CYC_P1_H9,2.473,Caffeine,Failed,7.93E+06,25,---,---,Analysis,P1
201026_MIA_128.xms,ISY_CYC_P1_H10,2.5,Caffeine,Failed,6.74E+06,25,---,---,Analysis,P1
201026_MIA_129.xms,ISY_CYC_P1_H11,2.521,Caffeine,Failed,5.42E+06,25,---,---,Analysis,P1
201026_MIA_130.xms,ISY_CYC_P1_H12,2.527,Caffeine,Failed,7.66E+06,25,---,---,Analysis,P1
201026_MIA_131.xms,Solvent Blank,2.52,Caffeine,Failed,1.44E+06,1,---,---,Blank,P1
201026_MIA_131001.xms,Solvent Blank,2.512,Caffeine,Failed,62692,1,---,---,Blank,P1
201026_MIA_132.xms,Blank,2.503,Caffeine,Identified,2421,1,---,---,Blank,P1
201026_MIA_133.xms,0.05 mg/L stric_v13#1,2.511,Caffeine,Failed,359438,1,1,---,Calibration,P1
201026_MIA_134.xms,0.1 mg/L stric_v13#2,2.506,Caffeine,Failed,350706,1,1,---,Calibration,P1
201026_MIA_135.xms,0.25 mg/L stric_v13#3,2.51,Caffeine,Failed,342820,1,1,---,Calibration,P1
201026_MIA_136.xms,0.5 mg/L stric_v13#4,2.505,Caffeine,Failed,296355,1,1,---,Calibration,P1
201026_MIA_137.xms,1 mg/L stric_v13#5,2.504,Caffeine,Failed,342963,1,1,---,Calibration,P1
201026_MIA_138.xms,2.5 mg/L stric_v13#6,2.494,Caffeine,Failed,417932,1,1,---,Calibration,P1
201026_MIA_139.xms,5 mg/L stric_v13#7,2.539,Caffeine,Failed,324138,1,1,---,Calibration,P1
201026_MIA_140.xms,10 mg/L stric_v13#8,2.535,Caffeine,Failed,412037,1,1,---,Calibration,P1
201026_MIA_141.xms,25 mg/L stric_v13#9,2.537,Caffeine,Failed,435630,1,1,---,Calibration,P1
201026_MIA_142.xms,50 mg/L stric_v13#10,2.53,Caffeine,Failed,584133,1,1,---,Calibration,P1
201026_MIA_143.xms,Solvent Blank,2.515,Caffeine,Failed,117026,1,---,---,Blank,P1
201026_MIA_143001.xms,Solvent Blank,2.513,Caffeine,Failed,235170,1,---,---,Blank,P1
201026_MIA_143002.xms,Solvent Blank,2.519,Caffeine,Failed,104596,1,---,---,Blank,P1
201026_MIA_001.xms,Solvent Blank,2.207,Loganic acid,Missing,0,---,---,---,Blank,P1
201026_MIA_001001.xms,Solvent Blank,2.207,Loganic acid,Missing,0,---,---,---,Blank,P1
201026_MIA_002.xms,QC_mix_00,2.256,Loganic acid,Failed,76795,5839.294,---,---,Analysis,P1
201026_MIA_003.xms,Solvent Blank,2.207,Loganic acid,Missing,0,---,---,---,Blank,P1
201026_MIA_003001.xms,Solvent Blank,2.207,Loganic acid,Missing,0,---,---,---,Blank,P1
201026_MIA_004.xms,Blank,2.207,Loganic acid,Missing,0,---,---,---,Blank,P1
201026_MIA_005.xms,0.05 mg/L stric_v13#1,2.239,Loganic acid,Failed,751,56.3,50,12.601,Calibration,P1
201026_MIA_006.xms,0.1 mg/L stric_v13#2,2.241,Loganic acid,Failed,2340,97.687,100,-2.313,Calibration,P1
201026_MIA_007.xms,0.25 mg/L stric_v13#3,2.216,Loganic acid,Failed,3546,283,250,13.2,Calibration,P1
201026_MIA_008.xms,0.5 mg/L stric_v13#4,2.196,Loganic acid,Failed,6534,524.063,500,4.813,Calibration,P1
201026_MIA_009.xms,1 mg/L stric_v13#5,2.219,Loganic acid,Failed,11603,987.913,1000,-1.209,Calibration,P1
201026_MIA_010.xms,2.5 mg/L stric_v13#6,2.202,Loganic acid,Failed,29450,2647.935,2500,5.917,Calibration,P1
201026_MIA_011.xms,5 mg/L stric_v13#7,2.192,Loganic acid,Failed,53929,4614.537,5000,-7.709,Calibration,P1
201026_MIA_012.xms,10 mg/L stric_v13#8,2.21,Loganic acid,Failed,103930,8770.749,10000,-12.293,Calibration,P1
201026_MIA_013.xms,25 mg/L stric_v13#9,2.196,Loganic acid,Failed,217845,14523.079,25000,-41.908,Calibration,P1
201026_MIA_014.xms,50 mg/L stric_v13#10,2.187,Loganic acid,Failed,482789,30023.063,50000,-39.954,Calibration,P1
201026_MIA_015.xms,Solvent Blank,2.207,Loganic acid,Missing,0,---,---,---,Blank,P1
201026_MIA_015001.xms,Solvent Blank,2.207,Loganic acid,Missing,0,---,---,---,Blank,P1
201026_MIA_015002.xms,Solvent Blank,2.207,Loganic acid,Missing,0,---,---,---,Blank,P1
201026_MIA_016.xms,ISY_CYC_P1_A1,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_017.xms,ISY_CYC_P1_A2,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_018.xms,ISY_CYC_P1_A3,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_019.xms,ISY_CYC_P1_A4,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_020.xms,ISY_CYC_P1_A5,2.206,Loganic acid,Failed,901,N/A,---,---,Analysis,P1
201026_MIA_021.xms,ISY_CYC_P1_A6,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_022.xms,ISY_CYC_P1_A7,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_023.xms,ISY_CYC_P1_A8,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_024.xms,ISY_CYC_P1_A9,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_025.xms,ISY_CYC_P1_A10,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_026.xms,ISY_CYC_P1_A11,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_027.xms,ISY_CYC_P1_A12,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_028.xms,QC_mix_01,2.199,Loganic acid,Failed,49412,2637.443,1000,163.744,Verification,P1
201026_MIA_029.xms,ISY_CYC_P1_B1,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_030.xms,ISY_CYC_P1_B2,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_031.xms,ISY_CYC_P1_B3,2.217,Loganic acid,Failed,607,N/A,---,---,Analysis,P1
201026_MIA_032.xms,ISY_CYC_P1_B4,2.198,Loganic acid,Failed,734,N/A,---,---,Analysis,P1
201026_MIA_033.xms,ISY_CYC_P1_B5,2.204,Loganic acid,Failed,959,N/A,---,---,Analysis,P1
201026_MIA_034.xms,ISY_CYC_P1_B6,2.198,Loganic acid,Failed,554,N/A,---,---,Analysis,P1
201026_MIA_035.xms,ISY_CYC_P1_B7,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_036.xms,ISY_CYC_P1_B8,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_037.xms,ISY_CYC_P1_B9,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_038.xms,ISY_CYC_P1_B10,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_039.xms,ISY_CYC_P1_B11,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_040.xms,ISY_CYC_P1_B12,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_041.xms,QC_mix_02,2.195,Loganic acid,Failed,49213,2657.513,1000,165.751,Verification,P1
201026_MIA_042.xms,ISY_CYC_P1_C1,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_043.xms,ISY_CYC_P1_C2,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_044.xms,ISY_CYC_P1_C3,2.189,Loganic acid,Failed,675,N/A,---,---,Analysis,P1
201026_MIA_045.xms,ISY_CYC_P1_C4,2.179,Loganic acid,Failed,1173,N/A,---,---,Analysis,P1
201026_MIA_046.xms,ISY_CYC_P1_C5,2.174,Loganic acid,Failed,890,N/A,---,---,Analysis,P1
201026_MIA_047.xms,ISY_CYC_P1_C6,2.178,Loganic acid,Failed,1474,N/A,---,---,Analysis,P1
201026_MIA_048.xms,ISY_CYC_P1_C7,2.209,Loganic acid,Failed,2027,36.429,---,---,Analysis,P1
201026_MIA_049.xms,ISY_CYC_P1_C8,2.205,Loganic acid,Identified,2647,82.753,---,---,Analysis,P1
201026_MIA_050.xms,ISY_CYC_P1_C9,2.183,Loganic acid,Failed,1302,13.925,---,---,Analysis,P1
201026_MIA_051.xms,ISY_CYC_P1_C10,2.18,Loganic acid,Failed,1537,26.191,---,---,Analysis,P1
201026_MIA_052.xms,ISY_CYC_P1_C11,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_053.xms,ISY_CYC_P1_C12,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_054.xms,QC_mix_03,2.196,Loganic acid,Failed,51525,2619.262,1000,161.926,Verification,P1
201026_MIA_055.xms,ISY_CYC_P1_D1,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_056.xms,ISY_CYC_P1_D2,2.218,Loganic acid,Failed,1665,13.215,---,---,Analysis,P1
201026_MIA_057.xms,ISY_CYC_P1_D3,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_058.xms,ISY_CYC_P1_D4,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_059.xms,ISY_CYC_P1_D5,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_060.xms,ISY_CYC_P1_D6,2.198,Loganic acid,Failed,2388,36.042,---,---,Analysis,P1
201026_MIA_061.xms,ISY_CYC_P1_D7,2.19,Loganic acid,Failed,2259,37.853,---,---,Analysis,P1
201026_MIA_062.xms,ISY_CYC_P1_D8,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_063.xms,ISY_CYC_P1_D9,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_064.xms,ISY_CYC_P1_D10,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_065.xms,ISY_CYC_P1_D11,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_066.xms,ISY_CYC_P1_D12,2.207,Loganic acid,Missing,0,---,---,---,Analysis,P1
201026_MIA_067.xms,Solvent Blank,2.207,Loganic acid,Missing,0,---,---,---,Blank,P1
201026_MIA_067001.xms,Solvent Blank,2.207,Loganic acid,Missing,0,---,---,---,Blank,P1
201026_MIA_068.xms,Blank,2.207,Loganic acid,Missing,0,---,---,---,Blank,P1
201026_MIA_069.xms,0.05 mg/L stric_v13#1,2.221,Loganic acid,Failed,703,42.013,50,-15.974,Calibration,P1
201026_MIA_070.xms,0.1 mg/L stric_v13#2,2.221,Loganic acid,Failed,1668,90.604,100,-9.396,Calibration,P1
201026_MIA_071.xms,0.25 mg/L stric_v13#3,2.22,Loganic acid,Failed,3779,236.384,250,-5.446,Calibration,P1
201026_MIA_072.xms,0.5 mg/L stric_v13#4,2.214,Loganic acid,Failed,7146,461.816,500,-7.637,Calibration,P1
201026_MIA_073.xms,1 mg/L stric_v13#5,2.212,Loganic acid,Failed,12968,903.596,1000,-9.64,Calibration,P1
201026_MIA_074.xms,2.5 mg/L stric_v13#6,2.21,Loganic acid,Failed,34165,2469.255,2500,-1.23,Calibration,P1
201026_MIA_075.xms,5 mg/L stric_v13#7,2.235,Loganic acid,Failed,63419,4419.982,5000,-11.6,Calibration,P1
201026_MIA_076.xms,10 mg/L stric_v13#8,2.205,Loganic acid,Failed,177538,9258.322,10000,-7.417,Calibration,P1
201026_MIA_077.xms,25 mg/L stric_v13#9,2.194,Loganic acid,Failed,246069,17310.4,25000,-30.758,Calibration,P1
201026_MIA_078.xms,50 mg/L stric_v13#10,2.185,Loganic acid,Failed,567254,19982.537,50000,-60.035,Calibration,P1
201026_MIA_079.xms,Solvent Blank,2.207,Loganic acid,Missing,0,---,---,---,Blank,P1
